,p1,p2,p3,average,accumulated,win_ratio,max_win,max_loss
7368,24.0,45.0,8.0,0.108,3.55,0.394,0.695,-0.15
7369,24.0,45.0,9.0,0.126,3.779,0.433,0.695,-0.15
7370,24.0,45.0,10.0,0.131,3.806,0.448,0.754,-0.15
7371,24.0,45.0,11.0,0.145,3.763,0.462,0.754,-0.125
7372,24.0,45.0,12.0,0.164,3.783,0.522,0.754,-0.125
7373,24.0,45.0,13.0,0.161,3.697,0.522,0.691,-0.125
7374,24.0,45.0,14.0,0.155,3.567,0.522,0.691,-0.173
7375,24.0,45.0,15.0,0.145,3.192,0.545,0.691,-0.171
7376,24.0,45.0,16.0,0.145,3.185,0.545,0.717,-0.171
7377,24.0,45.0,17.0,0.15,3.298,0.545,0.717,-0.26
7378,24.0,45.0,18.0,0.133,3.069,0.522,0.717,-0.213
7379,24.0,45.0,19.0,0.131,3.021,0.478,0.717,-0.213
7380,24.0,46.0,5.0,0.105,3.989,0.421,0.97,-0.128
7381,24.0,46.0,6.0,0.114,3.878,0.412,0.695,-0.134
7382,24.0,46.0,7.0,0.116,3.709,0.406,0.695,-0.15
7383,24.0,46.0,8.0,0.112,3.577,0.406,0.695,-0.15
7384,24.0,46.0,9.0,0.13,3.781,0.448,0.695,-0.15
7385,24.0,46.0,10.0,0.143,3.87,0.481,0.754,-0.15
7386,24.0,46.0,11.0,0.143,3.73,0.462,0.754,-0.125
7387,24.0,46.0,12.0,0.161,3.701,0.522,0.691,-0.125
7388,24.0,46.0,13.0,0.16,3.672,0.522,0.691,-0.125
7389,24.0,46.0,14.0,0.158,3.484,0.545,0.691,-0.173
7390,24.0,46.0,15.0,0.145,3.18,0.545,0.691,-0.171
7391,24.0,46.0,16.0,0.146,3.204,0.545,0.717,-0.171
7392,24.0,46.0,17.0,0.137,3.141,0.522,0.717,-0.26
7393,24.0,46.0,18.0,0.131,3.002,0.478,0.717,-0.213
7394,24.0,46.0,19.0,0.138,3.182,0.478,0.865,-0.213
